,trace_id,domain,arg_1_id,arg_2_id,bit_count(intervals)
74,ImigmCOsFcfkSwe0ctO2-preCreateGame-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Bed|-02.46|00.00|-00.57,2
75,ImigmCOsFcfkSwe0ctO2-preCreateGame-rerecorded,medium,building_1,Bed|-02.46|00.00|-00.57,332
76,ImigmCOsFcfkSwe0ctO2-preCreateGame-rerecorded,medium,building_0,Bed|-02.46|00.00|-00.57,13
77,ImigmCOsFcfkSwe0ctO2-preCreateGame-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Bed|-02.46|00.00|-00.57,2
78,JNLBQW5TcsbOY86oNd2A-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,7101
79,JNLBQW5TcsbOY86oNd2A-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,6353
80,KO8pbUWEpZldxy7AzyM5-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,751
81,KO8pbUWEpZldxy7AzyM5-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,75
82,KO8pbUWEpZldxy7AzyM5-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1058
83,LkHHvW4OJdSShlajpnFZ-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,560
84,LkHHvW4OJdSShlajpnFZ-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,692
85,LkHHvW4OJdSShlajpnFZ-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,395
86,NJUY0YT1Pq6dZXsmw0wE-gameplay-attempt-2-rerecorded,few,Dodgeball|-02.95|+01.29|-02.61,Bed|-02.46|00.00|-00.57,2
87,NJUY0YT1Pq6dZXsmw0wE-gameplay-attempt-2-rerecorded,few,Dodgeball|-02.95|+01.29|-02.61,Bed|-02.46|00.00|-00.57,2
