,arg_1_id,arg_2_id,state_count
225,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,62
226,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,88
227,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,83
228,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,25
229,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,69
230,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,48
231,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,16
232,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,45
233,building_2,Desk|+03.14|00.00|-01.41,1
234,Beachball|+02.29|+00.19|-02.88,Desk|+03.14|00.00|-01.41,1
235,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,30
236,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,61
237,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,53
238,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,61
239,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,24
240,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,6
241,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,9
242,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,59
243,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,46
244,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,50
245,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,57
246,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,38
247,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,60
248,Beachball|-02.93|+00.17|-01.99,Desk|+03.14|00.00|-01.41,1
249,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,59
250,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,70
251,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,11
252,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,8
253,Pillow|-02.03|+00.68|-00.42,Desk|+03.14|00.00|-01.41,518
254,building_7,Desk|+03.14|00.00|-01.41,586
255,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,58
256,Beachball|+02.29|+00.19|-02.88,Desk|+03.14|00.00|-01.41,1
257,Pillow|-02.03|+00.68|-00.42,Desk|+03.14|00.00|-01.41,2
258,DogBed|+02.24|00.00|-02.85,Desk|+03.14|00.00|-01.41,14
259,building_7,Desk|+03.14|00.00|-01.41,6465
260,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,40
261,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,68
262,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,6
263,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,6
264,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,7
265,Chair|+02.73|00.00|-01.21,Desk|+03.14|00.00|-01.41,6
266,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,63
267,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,64
268,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,66
269,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,52
270,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,53
271,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,11
272,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,63
273,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,7
274,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,13
275,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,10
276,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,102
277,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,13
278,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,26
279,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,85
280,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,57
281,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,11
282,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,63
283,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,47
284,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,40
285,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,678
286,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,38
287,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,52
288,Laptop|+03.04|+00.79|-02.28,Desk|+03.14|00.00|-01.41,2
289,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,43
290,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,61
291,building_0,Desk|+03.14|00.00|-01.41,84
292,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,32
293,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,18
294,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,17
295,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,23
296,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,25
297,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,78
298,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,80
299,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,25
300,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,38
301,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,11
302,GarbageCan|+00.75|-00.03|-02.74,Desk|+03.14|00.00|-01.41,444
303,building_2,Desk|+03.14|00.00|-01.41,105
304,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,43
305,building_7,Desk|+03.14|00.00|-01.41,1811
306,Beachball|+02.29|+00.19|-02.88,Desk|+03.14|00.00|-01.41,1811
307,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,44
308,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,73
309,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,44
310,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,18
311,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,11
312,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,20
313,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,74
314,building_1,Desk|+03.14|00.00|-01.41,15
315,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,24
316,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,31
317,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,22
318,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,49
319,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,23
320,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,63
321,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,17
322,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,44
323,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,26
324,building_0,Desk|+03.14|00.00|-01.41,427
325,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,20
326,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,84
327,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,60
328,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,84
329,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,50
330,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,56
331,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,73
332,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,93
333,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,39
